,A new system has been ordered to replace the existing national dispatching,Abstract,Accession Number,Alternate Journal,An application of the framework disaggregates 2030 NO emissions from a national electricity model in an eight-state region under two climate scenarios,Author,Author Address,Cited References Count,DOI,Date,ISSN,Issue,Journal,Keywords,Keywords_01,Keywords_02,Keywords_03,Keywords_04,Keywords_05,Keywords_06,Keywords_07,Keywords_08,Keywords_09,Keywords_10,Keywords_11,Keywords_12,Keywords_13,Keywords_14,Keywords_15,Keywords_16,Keywords_17,Keywords_18,Keywords_19,Keywords_20,Keywords_21,Keywords_22,Keywords_23,Keywords_24,Keywords_25,Keywords_26,Keywords_27,Keywords_28,Keywords_29,Keywords_30,Keywords_31,Keywords_32,Keywords_33,Keywords_34,Keywords_35,Keywords_36,Language,Learning trends are demonstrated for power restoration of,Many of the developed expert systems will be maintained or modified by utility engineers. This study proposes a methodology for maintaining rule-based expert systems. The following capabilities are incorporated,Notes,Our conclusions are the following,Pages,Record Number,Reference Type,Results using the proposed cumulant method are compared against results from Monte Carlo simulations (MCSs) based on a small test system. The Numerical Results section is broken into two sections,SIDE creates the single-line diagram and the general electric specifications. This process is guided by two techniques,Short Title,The Adams method is applied to the differential state variables,The algorithm is tested in two systems,The analysis and the procedure developed are tested on two systems,The constraints on emissions will be implemented by an allowance program,The new VBRP process is based on transmission system reliability evaluation and includes the following important elements,The new index was rigorously tested on different test systems. The results were obtained on a static two-bus test system and on the dynamic Belgian-French 32-bus test system that includes full dynamic models of all power-system components crucial to the voltage instability analysis. The results show advantages of the proposed index,The new simulator features,The optimal hydro scheduling problem is formulated as a large scale linear programming algorithm and is solved using a commercially-available linear programming package. The selected objective function requires minimization of the value of energy used by turbines and spilled during the study period.  Alternative formulations of the objective function are also discussed.  The system model incorporates the following elements,The proposed approach has been successfully tested on two power systems,The proposed infrastructure uses modern intelligent electronic devices (IEDs) named universal monitoring protection and control units (UMPCUs) that are capable of handling three key data sets for the component that they are attached to,The proposed procedure reduces the complexity by formulating the problem as a complementarity problem. A discussion is offered then on the specific problem of droop formulation,The proposed technique utilizes a combination of forecasts from several load forecasting models (sub-models). The parameter estimation may thus be split into two parts,The short note paper addresses new and evolving requirements placed on control center databases. Among the issues addressed are,The validity and effectiveness of the algorithm is verified by means of two examples,These algorithms have been designed by,This algorithm is applied to an important operational planning problem,This comparison demonstrates both theoretically and through simulation that,This paper addresses,This paper highlights the alternative to spilling wind to provide frequency response capability,This paper presents a multiobjective decision support model which allows the consideration of the main concerns that have an important role in LM,This system has the following features,Times Cited,Title,To this model we apply variable splitting and Lagrange relaxation to decompose the problem into one subproblem for the hydrological constraints and one subproblem for each hydro plant. In order to find feasible solutions we use a combination of network programming and heuristic search. The dual,Type 1,Type 2,URL,Volume,We found five aspects causing start-up costs,We propose a model composed of three elements,Year,probability,University,Country
2885,,This is the first part of a two-part paper that has arisen from the work of the IEEE Power Engineering Society's Multi-Agent Systems (MAS) Working Group.,WOS:000250559200038,Ieee T Power Syst,,"McArthur, S. D. J., Davidson, E. M., Catterson, V. M., Dimeas, A. L., Hatziargyriou, N. D., Ponci, F. and Funabashi, T.","Univ Strathclyde, Inst Energy & Environm, Glasgow, Lanark, Scotland",66,10.1109/Tpwrs.2007.908471,Nov,0885-8950,4,Ieee Transactions on Power Systems,multi-agent systems,electrical distribution networks,cooperative protection system,coalition-formation,intelligent agents,market games,model,architecture,technology,negotiations,simulation,Part II of this paper explores the decisions inherent in engineering multi-agent systems for applications in the power and energy sector and offers guidance and recommendations on how MAS can be designed and implemented.,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,226AJ,,1743-1752,8606,Journal Article,,,"Multi-agent systems for power engineering applications - Part I: concepts, approaches, and technical challenges",,,,,,,,,,,,,,,,,,,,,,301,"Multi-agent systems for power engineering applications - Part I: concepts, approaches, and technical challenges",,,,<Go to ISI>://WOS:000250559200038,22,,,2007,,Univ Strathclyde,Scotland
2902,,"If transmission charges are to reflect costs, they should be affected by the location of demand and generation. This paper describes the investment cost-related pricing (ICRP) methodology used to calculate transmission charges in Great Britain (GB), which is based on the marginal investment cost of additional demand or generation, using a dc load flow transport model. We apply this existing method to calculate charges for the Supergen FutureNet scenarios for 2020. This study highlights the sensitivities in charges for use of the transmission system arising from plausible demand and generation developments. The changes in tariffs will present financial challenges for system users in. some areas. The objective of the work presented is to illustrate the sensitivity of the charges produced by this methodology to changes in demand, generation, and network topology rather than compare alternative pricing approaches. The conclusion drawn is that the ICRP system pricing method may be suitable in future years but only with some important issues investigated and resolved.",WOS:000250559200014,Ieee T Power Syst,,"Ault, G. W., Elders, I. M. and Green, R. J.","Univ Strathclyde, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",15,10.1109/Tpwrs.2007.907128,Nov,0885-8950,4,Ieee Transactions on Power Systems,power system economics,power transmission,power transmission economics,network cost allocation,generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,226AJ,,1523-1531,8623,Journal Article,,,Transmission use of system charges under future GB power system scenarios,,,,,,,,,,,,,,,,,,,,,,9,Transmission use of system charges under future GB power system scenarios,,,,<Go to ISI>://WOS:000250559200014,22,,,2007,,Univ Strathclyde,Scotland
2906,,"Two tradeoffs in the effectiveness of automatic voltage regulators (AVRs) and power system stabilizers (PSSs) are investigated together for the first time. The first is the effect of a high-gain fast response AVR on decreasing power system oscillation stability as well as increasing transient stability, and vice versa. The second is that a PSS can reduce transient stability by overriding the voltage signal to the exciter as well as increasing oscillation stability, and vice versa. In essence, the actions of the AVR and PSS devices are dynamically interlinked. A novel Bode frequency response framework for dynamic analysis of AVR and PSS performance and tradeoffs is presented. Bode frequency response also assists with the determination of suitable generator locations for PSSs and the assessment of robustness under changing power system operating conditions.",WOS:000250559200063,Ieee T Power Syst,,"Dudgeon, G. J. W., Leithead, W. E., Dysko, A., O'Reilly, J. and McDonald, J. R.","Univ Strathclyde, Dept Elect & Elect Engn, Inst Energy & Envirom, Glasgow G1 1XW, Lanark, Scotland",28,10.1109/Tpwrs.2007.908404,Nov,0885-8950,4,Ieee Transactions on Power Systems,automatic voltage regulators,bode frequency-response analysis,electromechanical oscillations,power system stabilizers,transient stability,small-signal stability,oscillations,robust,damp,controllers,design,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,226AJ,,1986-1994,8627,Journal Article,,,The effective role of AVR and PSS in power systems: Frequency response analysis,,,,,,,,,,,,,,,,,,,,,,13,The effective role of AVR and PSS in power systems: Frequency response analysis,,,,<Go to ISI>://WOS:000250559200063,22,,,2007,,Univ Strathclyde,Scotland
2947,,This is the second part of a two-part paper that has arisen from the work of the IEEE Power Engineering Society's Multi-Agent Systems (MAS) Working Group.,WOS:000250559200039,Ieee T Power Syst,,"McArthur, S. D. J., Davidson, E. M., Catterson, V. M., Dimeas, A. L., Hatziargyriou, N. D., Ponci, F. and Funabashi, T.","Univ Strathclyde, Inst Energy & Environm, Glasgow, Lanark, Scotland",27,10.1109/Tpwrs.2007.908472,Nov,0885-8950,4,Ieee Transactions on Power Systems,multi-agent systems,management,Part II of this paper explores the decisions inherent in engineering multi-agent systems for applications in the power and energy sector and offers guidance and recommendations on how MAS can be designed and implemented.,It also describes the problem of interoperability between different multi-agent systems and proposes how this may be tackled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,226AJ,,1753-1759,8668,Journal Article,,,"Multi-agent systems for power engineering applications - Part II: Technologies, standards, and tools for building multi-agent systems",,,,,,,,,,,,,,,,,,,,,,150,"Multi-agent systems for power engineering applications - Part II: Technologies, standards, and tools for building multi-agent systems",,,,<Go to ISI>://WOS:000250559200039,22,,,2007,,Univ Strathclyde,Scotland
2967,,"With high levels of variable renewable generation in distribution or transmission systems, the application of demand and generation time series to power flow analysis can be advantageous. Demand data are often available from historic measurements, while renewable generation such as wind turbine output may be recorded or can be derived from resource measurements over the corresponding period of time. Power flow solutions with hourly time steps over a year or more can then be used to produce load duration curves for system components. This paper shows, by example, how utilities can use the method to determine overload conditions or to specify non-firm connection agreements for new generators.",WOS:000248352100008,Ieee T Power Syst,,"Boehme, T., Wallace, A. R. and Harrison, G. P.","Univ Edinburgh, Aberdeen, Scotland",21,10.1109/Tpwrs.2007.901610,Aug,0885-8950,3,Ieee Transactions on Power Systems,load duration curve,power flow analysis,time series,variable generation,wind power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,194NW,,951-957,8688,Journal Article,,,Applying time series to power flow analysis in networks with high wind penetration,,,,,,,,,,,,,,,,,,,,,,23,Applying time series to power flow analysis in networks with high wind penetration,,,,<Go to ISI>://WOS:000248352100008,22,,,2007,,Univ Edinburgh,Scotland
2974,,"This paper presents a scheme for supervisory control of wind farms. We concentrate on reduction of power output variation, but the proposed scheme can also be used for system-wide controls that are related to power variation, such as frequency control or damping of power swings. The scheme may utilize either a separate (external) energy storage device or a power reserve achieved through part-loading of one or more turbines in a wind farm. The proposed supervisory control scheme has been validated on a model of a wind farm with four turbines. Simulations have confirmed the usefulness of the scheme. The proposed control system is general and could also be used for other types of intermittent generators such as wave or solar.",WOS:000248352100012,Ieee T Power Syst,,"Lubosny, Z. and Bialek, J. W.","Univ Edinburgh, Inst Energy Syst, Edinburgh EH9 3JL, Midlothian, Scotland",29,10.1109/Tpwrs.2007.901101,Aug,0885-8950,3,Ieee Transactions on Power Systems,power system control,wind farm,wind power,generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,194NW,,985-994,8695,Journal Article,,,Supervisory control of a wind farm,,,,,,,,,,,,,,,,,,,,,,27,Supervisory control of a wind farm,,,,<Go to ISI>://WOS:000248352100012,22,,,2007,,Univ Edinburgh,Scotland
2983,,"A novel methodology is proposed for the customer security assessment with high penetration of wind power in modern distribution networks. The customer security is quantified through customer damage costs by operating wind farms without standing reserve, which causes an inadequate supply of power to meet loads at some operating conditions. Necessary reserve to mitigate intermittency of wind is quantified through shed load. The ability to estimate a network firm import capacity that can be replaced with a wind plant, which is operated with the necessary reserve, is an added advantage of the approach. Monte Carlo simulation is the prime tool of the assessment, which incorporates linear programming-based re-dispatching of generation and load shedding to eliminate constraint violations. Steady-state analysis is used for the assessment incorporating random contingencies, subsequent tripping, intermittency of wind power, and demand variations. A case study is presented considering a medium voltage island network that has a grid connection, and this is used to demonstrate the customer security assessment integrating uncertainty models and a formulation to extract the impact of intermittency.",WOS:000248352100053,Ieee T Power Syst,,"Jayaweera, D., Burt, G. and McDonald, J. R.","Univ Strathclyde, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",25,10.1109/Tpwrs.2007.901750,Aug,0885-8950,3,Ieee Transactions on Power Systems,adequacy,customer damage cost,intermittency,monte carlo simulation,security,standing reserve,wind power,generation,energy,capacity,systems,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,194NW,,1360-1368,8704,Journal Article,,,Customer security assessment in distribution networks with high penetration of wind power,,,,,,,,,,,,,,,,,,,,,,7,Customer security assessment in distribution networks with high penetration of wind power,,,,<Go to ISI>://WOS:000248352100053,22,,,2007,,Univ Strathclyde,Scotland
3024,,"This paper proposes an innovative. way of making a decision to island (or synchronize) distributed generators when operating conditions of a distribution system are varied. Islanding decisions are made when a network undergoes disturbances. In this approach, there is a decision-making mechanism, which samples states of the network operating condition to either synchronize or island in an identified period of time. Decision making is achieved through extended sequential sampling, which manages generator states within specific time periods. The approach can minimize the duration of islanded operation and manage generators' re-connection to the grid. Use of the proposed mechanism and sampling approach offer benefits over conventional relays; incorrect operations due to errors in measurements are reduced because the operational actions are not based on a single decision sample, but instead rely on extended sequential sampling over a number of samples. A case study is investigated using the IEEE 30-bus test system and the results are presented for this new approach.",WOS:000246271100002,Ieee T Power Syst,,"Jayaweera, D., Galloway, S., Burt, G. and McDonald, J. R.","Univ Strathclyde, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",12,10.1109/Tpwrs.2007.894852,May,0885-8950,2,Ieee Transactions on Power Systems,distributed generation,fault ride through,islanding,sequential sampling,synchronization,photovoltaic inverters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,164YO,,514-521,8745,Journal Article,,,A sampling approach for intentional islanding of distributed generation,,,,,,,,,,,,,,,,,,,,,,11,A sampling approach for intentional islanding of distributed generation,,,,<Go to ISI>://WOS:000246271100002,22,,,2007,,Univ Strathclyde,Scotland
3061,,"Regulators are aiming to incentivize developers and Distribution Network Operators to connect distributed generation (DG) to improve network environmental performance and efficiency. A key question is whether these incentives will encourage both parties to connect DG. Here, multiobjective optimal power flow is used to simulate how the parties' incentives affect their choice of DG capacity within the limits of the existing network. Using current U.K. incentives as a basis, this paper explores the costs, benefits and tradeoffs associated with DG in terms of connection, losses and, in a simple fashion, network deferral.",WOS:000246271100036,Ieee T Power Syst,,"Harrison, G. P., Piccolo, A., Siano, P. and Wallace, A. R.","Univ Edinburgh, Joint Res Inst Energy, Sch Engn & Elect, Edinburgh EH9 3JL, Midlothian, Scotland",31,10.1109/Tpwrs.2007.895176,May,0885-8950,2,Ieee Transactions on Power Systems,distributed generation,incentives,losses,optimization methods,power generation planning,optimal power-flow,embedded generation,network capacity,loss allocation,optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,164YO,,821-828,8782,Journal Article,,,Exploring the tradeoffs between incentives for distributed generation developers and DNOs,,,,,,,,,,,,,,,,,,,,,,74,Exploring the tradeoffs between incentives for distributed generation developers and DNOs,,,,<Go to ISI>://WOS:000246271100036,22,,,2007,,Univ Edinburgh,Scotland
3070,,"With the rapid increase in distributed generation (DG), the issue of voltage regulation in the distribution network becomes more significant, and centralized voltage control (or active network management) is one of the proposed methods. Alternative work on intelligent distributed voltage and reactive power control of DG has also demonstrated benefits in terms of the minimization of voltage variation and violations as well as, the ability to connect larger generators to the distribution network. This paper uses optimal power flow to compare the two methods and shows that intelligent distributed voltage and reactive power control of the DG gives similar results to those obtained by centralized management in terms of the potential for connecting increased capacities within existing networks.",WOS:000243914400053,Ieee T Power Syst,,"Vovos, P. N., Kiprakis, A. E., Wallace, A. R. and Harrison, G. P.","Univ Edinburgh, Inst Energy Syst, Joint Res Inst Energy, Sch Engn & Elect, Edinburgh EH9 3JL, Midlothian, Scotland",13,10.1109/Tpwrs.2006.888982,Feb,0885-8950,1,Ieee Transactions on Power Systems,dispersed storage and generation,optimal power flow,power distribution planning,power generation control,voltage control,optimal power-flow,network capacity analysis,tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,132AO,,476-483,8791,Journal Article,,,Centralized and distributed voltage control: Impact on distributed generation penetration,,,,,,,,,,,,,,,,,,,,,,175,Centralized and distributed voltage control: Impact on distributed generation penetration,,,,<Go to ISI>://WOS:000243914400053,22,,,2007,,Univ Edinburgh,Scotland
3147,,"The aim of this paper is to prove that fault levels may have a significant impact on the economic operation of modern power systems. First, we present a simple method for the incorporation of fault level constraints (FLCs) in the optimal power flow (OPF), the main optimization tool for the economic operation of power systems. The constraints imposed by fault levels are converted to simple nonlinear (inequality) constraints, described by variables of the conventional OPF. Most common OPF-solving engines already have the computational capacity to handle numerous nonlinear constraints, such as the ones described by the power balance equations on buses. Therefore, once FLCs are converted to nonlinear constraints described by OPF variables, they can be directly introduced to any optimization process performing the OPF. We applied this enhanced OPF on a simple 12-bus network. The results verified the significant impact fault levels have on the optimum operating point of the power system.",WOS:000241839700015,Ieee T Power Syst,,"Vovos, P. N. and Bialek, J. W.","Univ Edinburgh, Sch Engn & Elect, Edinburgh EH9 3JL, Midlothian, Scotland",5,10.1109/Tpwrs.2006.881150,Nov,0885-8950,4,Ieee Transactions on Power Systems,fault currents,load flow analysis,switchgear,flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,102UV,,1600-1607,8868,Journal Article,,,Impact of fault level constraints on the economic operation of power systems,,,,,,,,,,,,,,,,,,,,,,4,Impact of fault level constraints on the economic operation of power systems,,,,<Go to ISI>://WOS:000241839700015,21,,,2006,,Univ Edinburgh,Scotland
3291,,"This paper reports on the use of multi-agent system technology to automate the management and analysis of SCADA and digital fault recorder (DFR) data. The multi-agent system, entitled Protection Engineering Diagnostic Agents (PEDA), integrates legacy intelligent systems that analyze SCADA and DFR data to provide data management and online diagnostic information to protection engineers.",WOS:000237313000013,Ieee T Power Syst,,"Davidson, E. M., McArthur, S. D. J., McDonald, J. R., Cumming, T. and Watt, I.","Univ Strathclyde, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",33,10.1109/Tpwrs.2006.873109,May,0885-8950,2,Ieee Transactions on Power Systems,cooperative systems,decision support systems,fault diagnosis,intelligent systems,knowledge-based systems,power transmission protection,protection,transmission,model,design,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,039NO,,559-567,9012,Journal Article,,,Applying multi-agent system technology in practice: Automated management and analysis of SCADA and digital fault recorder data,,,,,,,,,,,,,,,,,,,,,,68,Applying multi-agent system technology in practice: Automated management and analysis of SCADA and digital fault recorder data,,,,<Go to ISI>://WOS:000237313000013,21,,,2006,,Univ Strathclyde,Scotland
3343,,"The common information model (CIM) is an object-oriented representation of a power system and is used primarily as a data exchange format for power system operational control systems. CIM has the potential to be used as much more than an intermediary exchange language. This paper explores the possible use of CIM as the core of a power systems analytical toolkit for storing, processing, extracting, and exchanging data directly from CIM objects. To this end, this paper discusses solutions to some of the challenges in storing and processing large power system network models as native Java objects without sacrificing reliability and robustness. This paper highlights the advantages provided by such a system when dealing with extensions to the CIM standard and overcoming the problems posed with simultaneously maintaining backward compatibility without sacrificing a higher level of detail. This paper also addresses the issue of data processing performance in contrast to other approaches.",WOS:000235017000024,Ieee T Power Syst,,"McMorran, A. W., Ault, G. W., Morgan, C., Elders, I. M. and McDonald, J. R.","Univ Strathclyde, Glasgow G1 1XW, Lanark, Scotland",10,10.1109/Tpwrs.2005.857846,Feb,0885-8950,1,Ieee Transactions on Power Systems,common information model (cim),extensible markup language (xml),java,object-oriented data modeling,xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,008CE,,194-201,9064,Journal Article,,,A common information model (CIM) toolkit framework implemented in Java,,,,,,,,,,,,,,,,,,,,,,19,A common information model (CIM) toolkit framework implemented in Java,,,,<Go to ISI>://WOS:000235017000024,21,,,2006,,Univ Strathclyde,Scotland
3362,,"The aim of this paper is to present a method for the direct incorporation of fault level constraints (FLCs) in the optimal power flow (OPF) as a tool for network capacity analysis, i.e., optimal generation expansion planning within an existing network. A mathematical methodology to convert constraints imposed by fault levels to simple nonlinear inequality constraints is developed. No new variables are introduced in the OPF formulation to describe the additional constraints. Most common OPF-solving engines already have the computational capacity to handle numerous nonlinear constraints, such as the ones described by the power balance equations on buses. Therefore, once FLCs are converted to nonlinear constraints described by OPF variables, they can be directly introduced to any optimization process performing the OPF. A 12-bus/15-line test case demonstrates the advantages of the new method in comparison with a previously proposed iterative method that converted them to restrictions on new capacity. It also proves that when FLCs are ignored, the capacity of the network to absorb new generation is overestimated.",WOS:000232973100051,Ieee T Power Syst,,"Vovos, P. N. and Bialek, J. W.","Univ Edinburgh, Sch Engn & Elect, Edinburgh EH9 3JL, Midlothian, Scotland",11,10.1109/Tpwrs.2005.856975,Nov,0885-8950,4,Ieee Transactions on Power Systems,fault currents,load flow analysis,optimization methods,power generation planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,979VM,,2125-2134,9083,Journal Article,,,Direct incorporation of fault level constraints in optimal power flow as a tool for network capacity analysis,,,,,,,,,,,,,,,,,,,,,,41,Direct incorporation of fault level constraints in optimal power flow as a tool for network capacity analysis,,,,<Go to ISI>://WOS:000232973100051,20,,,2005,,Univ Edinburgh,Scotland
3381,,"Online diagnostics and online condition monitoring are important functions within the operation and maintenance of a power plant. When there is knowledge of the relationships between the raw data and the underlying phenomena within the plant item, typical intelligent system-based interpretation algorithms can be implemented. Increasingly, health data is captured without any underlying knowledge concerning the link between the data and their relationship to physical and electrical phenomena within the plant item. This leads to the requirement for dynamic and learning condition monitoring systems that are able to determine the expected and normal plant behavior over time. This paper describes how multi-agent system technology can be used as the underpinning platform for such condition monitoring systems. This is demonstrated through a prototype multi-agent anomaly detection system applied to a 2.5-MW diesel engine driven alternator system.",WOS:000232973100002,Ieee T Power Syst,,"McArthur, S. D. J., Booth, C. D., McDonald, J. R. and McFadyen, I. T.","Univ Strathclyde, Glasgow G1 1XW, Lanark, Scotland",14,10.1109/Tpwrs.2005.857262,Nov,0885-8950,4,Ieee Transactions on Power Systems,cooperative systems,decision support systems,generators,intelligent systems,monitoring,multi-agent systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,979VM,,1675-1682,9102,Journal Article,,,An agent-based anomaly detection architecture for condition monitoring,,,,,,,,,,,,,,,,,,,,,,18,An agent-based anomaly detection architecture for condition monitoring,,,,<Go to ISI>://WOS:000232973100002,20,,,2005,,Univ Strathclyde,Scotland
3545,,"Research into transmission pricing and congestion management in interconnected power systems, such as those found in USA and Europe, requires an appropriate benchmark system to test different methodologies. Creation of a realistic benchmark system is difficult as utilities are often unwilling to disclose details of their own systems because of commercial sensitivity and security reasons. This paper presents development of an approximate model of a European interconnected system which could be used to study the effects of cross-border trades. In creating the load-flow model, only publicly available information was used. Comparison of simulation results conducted on the test system with the published cross-border flows and power transfer distribution factors showed a very good correlation, exceeding 90%.",WOS:000228778800032,Ieee T Power Syst,,"Zhou, Q. and Bialek, J. W.","Univ Edinburgh, Sch Engn & Elect, Edinburgh EH9 3JL, Midlothian, Scotland",13,10.1109/Tpwrs.2005.846178,May,0885-8950,2,Ieee Transactions on Power Systems,interconnected power systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,921QF,,782-788,9266,Journal Article,,,Approximate model of European interconnected system as a benchmark system to study effects of cross-border trades,,,,,,,,,,,,,,,,,,,,,,56,Approximate model of European interconnected system as a benchmark system to study effects of cross-border trades,,,,<Go to ISI>://WOS:000228778800032,20,,,2005,,Univ Edinburgh,Scotland
3547,,"The aim of this paper is to present a new method for the allocation of new generation capacity, which takes into account fault level constraints imposed by protection equipment such as switchgear. It simulates new generation capacities and connections to other networks using generators with quadratic cost functions. The coefficients of the cost functions express allocation preferences over connection points. The relation between capacity and subtransient reactance of generators is used during the estimation of fault currents. An iterative process allocates new capacity using optimal power flow mechanisms and readjusts capacity to bring fault currents within the specifications of switchgear. The method was tested on a 12-bus LV meshed network with three connection points for new capacity and one connection to an RV network. It resulted in significantly higher new generation capacity than existing first-come-first-served policies.",WOS:000228778800026,Ieee T Power Syst,,"Vovos, P. N., Harrison, G. P., Wallace, A. R. and Bialek, J. W.","Univ Edinburgh, Sch Engn & Elect, Edinburgh EH9 3JL, Midlothian, Scotland",15,10.1109/Tpwrs.2005.846070,May,0885-8950,2,Ieee Transactions on Power Systems,fault currents,load flow analysis,optimization methods,power generation planning,voltage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,921QF,,734-741,9268,Journal Article,,,Optimal power flow as a tool for fault level-constrained network capacity analysis,,,,,,,,,,,,,,,,,,,,,,41,Optimal power flow as a tool for fault level-constrained network capacity analysis,,,,<Go to ISI>://WOS:000228778800026,20,,,2005,,Univ Edinburgh,Scotland
3645,,"Online diagnostics and online condition monitoring are important functions within the operation and maintenance of power transformers. This paper describes how a multi-agent system (MAS) for transformer condition monitoring has been designed to employ the data generated by the ultra high frequency (UHF) monitoring of partial discharge activity. It describes the rationale behind the use of multi-agent techniques, and the problems overcome through this technology. Every aspect of the MAS design is discussed. In addition, the design and performance of the intelligent interpretation techniques are detailed.",WOS:000224849400016,Ieee T Power Syst,,"McArthur, S. D. J., Strachan, S. M. and Jahn, G.","Univ Strathclyde, Glasgow G1 1XW, Lanark, Scotland",11,10.1109/Tpwrs.2004.835667,Nov,0885-8950,4,Ieee Transactions on Power Systems,co-operative systems,decision support systems,intelligent systems,monitoring,multi-agent systems,partial discharges,power transformers,uhf measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,867NN,,1845-1852,9366,Journal Article,,,The design of a multi-agent transformer condition monitoring system,,,,,,,,,,,,,,,,,,,,,,91,The design of a multi-agent transformer condition monitoring system,,,,<Go to ISI>://WOS:000224849400016,19,,,2004,,Univ Strathclyde,Scotland
3654,,"An advanced time-domain representation suitable for accelerated periodic, steady-state solutions of large-scale electric power systems is introduced in this paper. The power system, which is three-phase in nature, is modeled by a set of ordinary differential equations. In addition to the all-important transmission lines' geometric imbalances, frequency-dependency and long-line effects, the transformers' saturation characteristics are also incorporated. In order to provide realistic initial conditions, the data needed for the modeling of the electric system is obtained from power-flow studies. The time domain solution of the overall set of differential equations is computed very reliably using a powerful blend of Newton methods and parallel processing techniques. Whereas the computation of the periodic steady-state solution is obtained with an acceleration procedure based on Newton methods and the Poincare map, the application of parallel processing techniques using multithread programming speeds up further the time taken by the acceleration process to get to the periodic, steady-state solution. To show the effectiveness and versatility of the newly developed environment, transient and steady-state analysis are carried-out for a three-phase version of the IEEE 118-node system, where nonlinearities are incorporated in the form of the transformers' saturation characteristics and a static var compensator.",WOS:000224849400009,Ieee T Power Syst,,"Garcia, N. and Acha, E.","Univ Glasgow, Dept Elect & Elect Engn, Glasgow G12 8LT, Lanark, Scotland",28,10.1109/Tpwrs.2004.831250,Nov,0885-8950,4,Ieee Transactions on Power Systems,harmonics,limit cycle,multithread programming,newton methods,parallel processing,periodic steady-state,poincare map,power-flow,time,simulation,implementation,methodology,computation,transient,,,,,,,,,,,,,,,,,,,,,,,,English,,,867NN,,1784-1793,9375,Journal Article,,,Periodic steady-state analysis of large-scale electric systems using Poincare map and parallel processing,,,,,,,,,,,,,,,,,,,,,,7,Periodic steady-state analysis of large-scale electric systems using Poincare map and parallel processing,,,,<Go to ISI>://WOS:000224849400009,19,,,2004,,Univ Glasgow,Scotland
3753,,"Transmission pricing of cross-border trades is often difficult since individual countries may use incompatible internal transmission pricing regimes, and they are usually unwilling to disclose any sensitive information about their own systems. In this paper, the use of a tracing methodology is proposed to overcome these problems using loss allocation problem as an example. Firstly, a modification of the tracing methodology is presented in which the loss is allocated in a direct way. Then a unifying tracing-based methodology of transmission pricing for cross-border trades is proposed. The only data required are the flows in the tie-lines and the charges to be applied to the border nodes in each country. No information is required about individual transactions, load/generation profiles or internal networks. The methodology is illustrated on the IEEE 118 node network divided into four areas, each with a different internal transmission pricing methodology. The proposed methodology is shown to be simple, transparent and very fast and it can deal effectively with cyclic flows.",WOS:000222975800001,Ieee T Power Syst,,"Bialek, J. W., Ziemianek, S. and Wallace, R.","Univ Edinburgh, Sch Engn & Elect, Edinburgh EH9 3JL, Midlothian, Scotland",13,10.1109/Tpwrs.2004.831296,Aug,0885-8950,3,Ieee Transactions on Power Systems,interconnected power systems,power system economics,flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,842AX,,1255-1262,9474,Journal Article,,,A methodology for allocating transmission losses due to cross-border trades,,,,,,,,,,,,,,,,,,,,,,20,A methodology for allocating transmission losses due to cross-border trades,,,,<Go to ISI>://WOS:000222975800001,19,,,2004,,Univ Edinburgh,Scotland
