,Abstract,Accession Number,Alternate Journal,Author,Author Address,Cited References Count,DOI,Date,ISSN,Issue,Journal,Keywords,Keywords_01,Keywords_02,Keywords_03,Keywords_04,Keywords_05,Keywords_06,Keywords_07,Keywords_08,Keywords_09,Keywords_10,Keywords_11,Keywords_12,Keywords_13,Keywords_14,Keywords_15,Keywords_16,Keywords_17,Keywords_18,Language,Notes,Pages,Record Number,Reference Type,Short Title,Times Cited,Title,URL,Volume,Year
55,"Inspired by induction machines working principles, this paper presents the idea of phase-locked-loop-less (PLL-less) operation of grid-connected voltage source converters (VSCs) under new concept of inducverter. The proposed controller eliminates the need for a dedicated synchronization process and the related PLL, and therefore it offers a simpler and more reliable control strategy compared to the conventional methods. In addition, it represents an improved performance, as it provides real and true auto-start and auto-synchronization with a grid without the need for grid voltage information. A current damping/synchronization unit enables grid auto-synchronization by using local current information and can track grid voltage frequency, angle, and amplitude variations while feeding constant amount of power, which is of high-interest in frequency varying grids and also in the case of grid voltage angle jump. Another advantage of the inducverter is that it introduces virtual inertia to the grid to regulate frequency, which enhances frequency dynamics of smart grids. Beside the current synchronization unit, the proposed strategy has a single-loop controller core with control over both power and current, which is implemented in a hybrid dq and abc frame using a virtual adaptive lead or lag impedance. The controller also offers stable and high-performance synchronization and operation under unbalanced and/or distorted grid conditions. The work beside synchronous current converters gives a bird's eye view to research in the new area of PLL-less and virtual inertia-based operation of VSCs and fulfill a unified set of controllers for the smart grid integration. Simulation, hardware-in-loop, and experimental results are presented to validate effectiveness of the controller.",WOS:000374971000046,Ieee T Smart Grid,"Ashabani, M., Freijedo, F. D., Golestan, S. and Guerrero, J. M.","Islamic Azad Univ, Dept Elect Engn, Najafabad Branch, Najafabad Isfahan, Iran",40,10.1109/Tsg.2015.2468600,May,1949-3053,3,Ieee Transactions on Smart Grid,emulated inertia,grid synchronization,induction machine,phase-locked loop (pll),smart grid,voltage source converter (vsc),phase-locked loop,grid synchronization,islanded microgrids,control strategy,reference-frame,controller,stability,inverters,systems,vscs,,,,English,Dk5pb,1660-1674,14216,Journal Article,Inducverters: PLL-Less Converters With Auto-Synchronization and Emulated Inertia Capability,1,Inducverters: PLL-Less Converters With Auto-Synchronization and Emulated Inertia Capability,<Go to ISI>://WOS:000374971000046,7,2016
56,"Due to the high-measuring cost, the monitoring of power quality (PQ) is nontrivial. This paper is aimed at reducing the cost of PQ monitoring in power network. Using a real-world PQ dataset, this paper adopts a learn-from-data approach to obtain a device latent feature model, which captures the device behavior as a PQ transition function. With the latent feature model, the power network could be modeled, in analogy, as a data-driven network, which presents the opportunity to use the well-investigated network monitoring and data estimation algorithms to solve the network quality monitoring problem in power grid. Based on this network model, algorithms are proposed to intelligently place measurement devices on suitable power links to reduce the uncertainty of PQ estimation on unmonitored power links. The meter placement algorithms use entropy-based measurements and Bayesian network models to identify the most suitable power links for PQ meter placement. Evaluation results on various simulated networks including IEEE distribution test feeder system show that the meter placement solution is efficient, and has the potential to significantly reduce the uncertainty of PQ values on unmonitored power links.",WOS:000374971000036,Ieee T Smart Grid,"Ali, S., Wu, K., Weston, K. and Marinakis, D.","Univ Victoria, Dept Comp Sci, Victoria, BC V8W 2Y2, Canada",19,10.1109/Tsg.2015.2442837,May,1949-3053,3,Ieee Transactions on Smart Grid,bayesian networks (bns),conditional entropy (ce),monte carlo (mc) simulations,power quality (pq) monitoring,state estimation,,,,,,,,,,,,,,,English,Dk5pb,1552-1561,14217,Journal Article,A Machine Learning Approach to Meter Placement for Power Quality Estimation in Smart Grid,0,A Machine Learning Approach to Meter Placement for Power Quality Estimation in Smart Grid,<Go to ISI>://WOS:000374971000036,7,2016
57,"Demand-side participation is now widely recognized as being extremely critical for satisfying the growing electricity demand in the U.S. The primary mechanism for demand management in the U.S. is demand response (DR) programs that attempt to reduce or shift demand by giving incentives to participating customers via price discounts or rebate payments. Utilities that offer DR programs rely on automated DR devices (ADRs) to automate the response to DR signals. The ADRs are faulty, but the working state of the ADR is not directly observable; one can, however, attempt to infer it from the power consumption during DR events. The utility loses revenue when a malfunctioning ADR does not respond to a DR signal; however, sending a maintenance crew to check and reset the ADR also incurs costs. In this paper, we show that the problem of maintaining a pool of ADRs using a limited number of maintenance crews can be formulated as a restless bandit problem, and that one can compute a near-optimal policy for this problem using Whittle indices. We show that the Whittle indices can be efficiently computed using a variational Bayes procedure even when the load-shed magnitude is noisy, and when there is a random mismatch between the clocks at the utility and at the meter. The results of our numerical experiments suggest that the Whittle-index-based approximate policy is within 4% of the optimal solution for all reasonably low values of the signal-to-noise ratio in the meter readings.",WOS:000374971000023,Ieee T Smart Grid,"Abad, C. and Iyengar, G.","Columbia Univ, Dept Ind Engn & Operat Res, New York, NY 10027 USA",22,10.1109/Tsg.2015.2465834,May,1949-3053,3,Ieee Transactions on Smart Grid,automated demand response (adr),bayes procedures,dynamic programming,markov-processes,complexity,,,,,,,,,,,,,,,English,Dk5pb,1411-1419,14218,Journal Article,A Near-Optimal Maintenance Policy for Automated DR Devices,0,A Near-Optimal Maintenance Policy for Automated DR Devices,<Go to ISI>://WOS:000374971000023,7,2016
58,"A faithful distributed mechanism is proposed in this paper for sharing the cost of electricity among a large number of strategic and distributed household agents that have private information, and discrete and continuous energy levels. In contrast to mechanisms in prior works, which charge the agents based on their day-ahead allocation, the proposed mechanism charges the agents based on their day-ahead allocation and their actual consumption. The mechanism is proven to be asymptotically dominant strategy incentive compatible, weakly budget balanced, and fair in charging the agents. However, the proposed mechanism's payment function, which requires computing a marginal allocation problem for each agent, renders the mechanism intractable for a large number of household agents if it is computed centrally. Thus, a distributed implementation of the mechanism is proposed, in which the agents share the computational burden with the aggregator. The distributed implementation is based on a penalty/reward scheme inspired by the prisoner's dilemma that brings faithful computation to a dominant strategy equilibrium.",WOS:000374971000054,Ieee T Smart Grid,"Mhanna, S., Verbic, G. and Chapman, A. C.","Univ Sydney, Sch Elect & Informat Engn, Sydney, NSW 2006, Australia",23,10.1109/Tsg.2015.2429152,May,1949-3053,3,Ieee Transactions on Smart Grid,demand response (dr),distributed mechanism design (dmd),energy management,game theory,incentive compatibility,piecewise linear approximation,scoring rules,smart grid,management,design,,,,,,,,,,English,Dk5pb,1743-1753,14219,Journal Article,A Faithful Distributed Mechanism for Demand Response Aggregation,0,A Faithful Distributed Mechanism for Demand Response Aggregation,<Go to ISI>://WOS:000374971000054,7,2016
59,"The use of distributed generators (DGs) has increased in the past decade and projections indicate that penetration will further increase. In this scenario, with the improvements in power-electronics-based converters, the DG units have the potential to effectively resolve voltage/current control issues in low-voltage distribution systems. In this paper, a new probabilistic index is defined to measure the controllability of voltages and currents in the buses and lines of distribution systems. Using this index greatly facilitates the analysis and measurement of voltage/current controllability levels of distribution systems. Different types of DGs are allocated in the system to optimize the voltage/current controllability by using the defined index. The results are compared with those obtained through the conventional approach of DG allocation, which is based on the minimization of energy losses. A new combined index is defined to include both V-I controllability and energy losses. Several sensitivity studies are then performed to show the effect of the penetration level of different types of DGs on the proposed indices.",WOS:000374971000020,Ieee T Smart Grid,"Arefifar, S. A., Ordonez, M. and Mohamed, Y. A. R. I.","Univ British Columbia, Dept Elect & Comp Engn, Vancouver, BC V6T 1Z4, Canada",23,10.1109/Tsg.2015.2476784,May,1949-3053,3,Ieee Transactions on Smart Grid,current control,distributed resources,energy losses,optimal distributed generators (dg) allocation,tabu search,voltage control,distribution networks,probabilistic approach,optimal placement,generation,dg,,,,,,,,,English,Dk5pb,1378-1388,14220,Journal Article,V-I Controllability-Based Optimal Allocation of Resources in Smart Distribution Systems,0,V-I Controllability-Based Optimal Allocation of Resources in Smart Distribution Systems,<Go to ISI>://WOS:000374971000020,7,2016
60,,WOS:000374971000057,Ieee T Smart Grid,"Zeineldin, H. H., Sharaf, H. M., Ibrahim, D. K. and Abou El-Zahab, E. E.","Masdar Inst, Dept Elect Engn & Comp Sci, Abu Dhabi, U Arab Emirates",1,10.1109/Tsg.2016.2548879,May,1949-3053,3,Ieee Transactions on Smart Grid,,,,,,,,,,,,,,,,,,,,English,Dk5pb,1757-1757,14221,Journal Article,"Closure to ""Optimal Protection Coordination for Meshed Distribution Systems With DG Using Dual Setting Directional Over-Current Relays""",0,"Closure to ""Optimal Protection Coordination for Meshed Distribution Systems With DG Using Dual Setting Directional Over-Current Relays""",<Go to ISI>://WOS:000374971000057,7,2016
61,"Distributed control methods based on consensus algorithms have become popular in recent years for microgrid (MG) systems. These kind of algorithms can be applied to share information in order to coordinate multiple distributed generators within a MG. However, stability analysis becomes a challenging issue when these kinds of algorithms are used, since the dynamics of the electrical and the communication systems interact with each other. Moreover, the transmission rate and topology of the communication network also affect the system dynamics. Due to discrete nature of the information exchange in the communication network, continuous-time methods can be inaccurate for this kind of dynamic study. Therefore, this paper aims at modeling a complete dc MG using a discrete-time approach in order to perform a sensitivity analysis taking into account the effects of the consensus algorithm. To this end, a generalized modeling method is proposed and the influence of key control parameters, the communication topology, and the communication speed are studied in detail. The theoretical results obtained with the proposed model are verified by comparing them with the results obtained with a detailed switching simulator developed in Simulink/Plecs.",WOS:000374971000032,Ieee T Smart Grid,"Meng, L. X., Dragicevic, T., Roldan-Perez, J., Vasquez, J. C. and Guerrero, J. M.","Aalborg Univ, Dept Energy Technol, DK-9220 Aalborg, Denmark",29,10.1109/Tsg.2015.2422714,May,1949-3053,3,Ieee Transactions on Smart Grid,consensus algorithm,dc microgrids,dc/dc converters,discrete-time (dt) modeling,distributed hierarchical control,centralized control,networks,coordination,operation,inverters,,,,,,,,,,English,Dk5pb,1504-1515,14222,Journal Article,Modeling and Sensitivity Study of Consensus Algorithm-Based Distributed Hierarchical Control for DC Microgrids,3,Modeling and Sensitivity Study of Consensus Algorithm-Based Distributed Hierarchical Control for DC Microgrids,<Go to ISI>://WOS:000374971000032,7,2016
62,"Utilizing battery storage devices in plug-in electric vehicles (PEVs) for grid support using vehicle-to-grid (V2G) concept is gaining popularity. With appropriate control strategies, the PEV batteries and associated power electronics can be exploited for solar photovoltaic (PV) impact mitigation and grid support. However, as the PEV batteries have limited capacity and the capacity usage is also constrained by transportation requirements, an intelligent strategy is necessary for an effective utilization of the available capacity for V2G applications. In this paper, a strategy for an effective utilization of PEV battery capacity for solar PV impact mitigation and grid support is proposed. A controllable charging/discharging pattern is developed to optimize the use of the limited PEV battery capacity to mitigate PV impacts, such as voltage rise during midday or to support the evening load peak. To ensure an effective utilization of the available PEV battery capacity when used for travel (which is the main usage of the PEVs) or when interventions in the charging operation is caused by passing clouds, a strategy for dynamic adjustments in PEV charging/discharging rates is proposed. The effectiveness of the proposed strategy is tested using a real distribution system in Australia based on practical PV and PEV data.",WOS:000374971000037,Ieee T Smart Grid,"Alam, M. J. E., Muttaqi, K. M. and Sutanto, D.","Univ Wollongong, Sch Elect Comp & Telecommun Engn, Australian Power Qual & Reliabil Ctr, Wollongong, NSW 2522, Australia",27,10.1109/Tsg.2015.2487514,May,1949-3053,3,Ieee Transactions on Smart Grid,charging/discharging control,distribution network support,plug-in electric vehicles (pevs),solar photovoltaic (pv) impact,vehicle-to-grid (v2g),vehicles,management,,,,,,,,,,,,,English,Dk5pb,1562-1571,14223,Journal Article,Effective Utilization of Available PEV Battery Capacity for Mitigation of Solar PV Impact and Grid Support With Integrated V2G Functionality,1,Effective Utilization of Available PEV Battery Capacity for Mitigation of Solar PV Impact and Grid Support With Integrated V2G Functionality,<Go to ISI>://WOS:000374971000037,7,2016
63,"In this paper, an energy consumption management is considered for households (users) in a residential smart grid network. In each house, there are two types of demands, essential and flexible demands, where the flexible demands are further categorized into delay-sensitive and delay-tolerant demands. The delay-sensitive demands have higher priority to be served than the delay-tolerant demands. Meanwhile, in order to decrease the delay of delay-tolerant demands, such demands are allowed to be upgraded to the high-priority queue (i.e., the same queue that serves the delay-sensitive demands) with a given probability. An optimization problem is then formulated to minimize the total electricity cost and the operation delay of flexible demands by obtaining the optimal energy management decisions. Based on adaptive dynamic programming, a centralized algorithm is proposed to solve the optimization problem. In addition, a distributed algorithm is designed for practical implementation and the neural network is employed to estimate the pricing or demands when such system information is not known. Simulation results show that the proposed schemes can provide effective management for household electricity usage and reduce the operation delay for the flexible demands.",WOS:000374971000045,Ieee T Smart Grid,"Liu, Y., Yuen, C., Yu, R., Zhang, Y. and Xie, S. L.","Guangdong Univ Technol, Sch Automat, Guangzhou 510006, Guangdong, Peoples R China",24,10.1109/Tsg.2015.2432571,May,1949-3053,3,Ieee Transactions on Smart Grid,energy consumption management,heterogeneous demands,operation delay,smart grid,time nonlinear-systems,load control,,,,,,,,,,,,,,English,Dk5pb,1650-1659,14224,Journal Article,Queuing-Based Energy Consumption Management for Heterogeneous Residential Demands in Smart Grid,0,Queuing-Based Energy Consumption Management for Heterogeneous Residential Demands in Smart Grid,<Go to ISI>://WOS:000374971000045,7,2016
64,"Distributed optimization techniques in electric power systems have drawn increased attention as they provide a scalable way to handle the increasingly complex and large-scale optimization problems associated with the optimal operation of the system. However, little effort has been reported on how to optimally partition the overall optimization problem into subproblems, which significantly affects the efficiency and convergence speed of distributed methods. To address this issue, this paper focuses on how to determine the optimal partition for a given system and optimization problem, and quantify the improvement obtained with the optimal partition in terms of number of iterations and convergence time for solving the ac optimal power flow problem. The proposed approach is based on spectral clustering using a combination of the Hessian matrix of the optimization problem and the admittance matrix as the affinity matrix. Simulation results for the IEEE test systems with 14, 30, 57, 118, and 300 buses confirm the effectiveness of the proposed partitioning method, and the robustness of the performance of a certain partition with respect to the operating point of the system.",WOS:000374971000007,Ieee T Smart Grid,"Guo, J. Y., Hug, G. and Tonguz, O. K.","Carnegie Mellon Univ, Dept Elect & Comp Engn, Pittsburgh, PA 15213 USA",27,10.1109/Tsg.2015.2490553,May,1949-3053,3,Ieee Transactions on Smart Grid,intelligent partitioning of power systems,clustering,convergence speed,decomposition methods,distributed optimization,flow,decomposition,networks,strategies,algorithms,,,,,,,,,,English,Dk5pb,1249-1258,14225,Journal Article,Intelligent Partitioning in Distributed Optimization of Electric Power Systems,0,Intelligent Partitioning in Distributed Optimization of Electric Power Systems,<Go to ISI>://WOS:000374971000007,7,2016
65,"As microgrids evolve, it is reasonable to expect that a variety of energy storage systems (ESSs) with different operational characteristics will be used simultaneously. Because each storage system has different capabilities and capacities, they will complement each other, and be able to achieve more efficient and reliable results than if only a single type of system were used. However, integrating multiple types of storage comes with several implementation challenges. Existing control techniques used to charge and discharge different technologies are not sufficient to accommodate the electrochemical (or mechanical) differences. In this paper, we propose an interconnection topology and a reinforcement learning-based algorithm to optimize the coordination of different ESSs in a microgrid.",WOS:000374971000027,Ieee T Smart Grid,"Qiu, X., Nguyen, T. A. and Crow, M. L.","Missouri Univ Sci & Technol, Dept Elect & Comp Engn, Rolla, MO 65401 USA",32,10.1109/Tsg.2015.2461134,May,1949-3053,3,Ieee Transactions on Smart Grid,batteries,energy management,energy storage,renewable energy sources,systems,management,converters,battery,,,,,,,,,,,,English,Dk5pb,1453-1461,14226,Journal Article,Heterogeneous Energy Storage Optimization for Microgrids,0,Heterogeneous Energy Storage Optimization for Microgrids,<Go to ISI>://WOS:000374971000027,7,2016
66,"In this paper, we propose a profit-maximizationbased pricing optimization model for the demand response (DR) management with customer behavior learning in the context of smart grids. By recognizing the different consumption patterns between shiftable and curtailable appliances, two different and distinguished behavior models are proposed. For shiftable appliances whose energy consumption can be shifted from high price periods to low price periods but total energy consumption is fixed, a probabilistic behavior model and its learning algorithm are proposed to model an individual customer's shifting probabilities dependent on different hourly prices. For curtailable appliances whose energy consumption cannot be shifted but total energy consumption can be adjusted, a regression model is proposed to model an individual customer's usage patterns dependent on prices and temperatures. After proposing the learning algorithms to identify these proposed behavior models, this paper further develops a genetic algorithm-based distributed pricing optimization algorithm for DR management with the aim to maximize the retailer's profit. Numerical results indicate the applicability and effectiveness of the proposed models and their benefits to the retailer by improving its profit.",WOS:000374971000033,Ieee T Smart Grid,"Meng, F. L. and Zeng, X. J.","Univ Manchester, Sch Comp Sci, Manchester M13 9PL, Lancs, England",37,10.1109/Tsg.2015.2462083,May,1949-3053,3,Ieee Transactions on Smart Grid,customer behavior learning,day-ahead pricing,demand response (dr) management,genetic algorithms (gas),smart grids (sgs),fuzzy-logic controller,genetic algorithms,side management,optimization,environment,,,,,,,,,,English,Dk5pb,1516-1529,14227,Journal Article,A Profit Maximization Approach to Demand Response Management with Customers Behavior Learning in Smart Grid,0,A Profit Maximization Approach to Demand Response Management with Customers Behavior Learning in Smart Grid,<Go to ISI>://WOS:000374971000033,7,2016
67,"In this paper, a real-time smart metering approach is proposed that reduces the reporting frequency for a given maximum error constraint. The proposed scheme employs an adaptive change detection filter that tracks the mean trend of the local power consumption, and load estimates are reported only when the estimation error exceeds a prescribed magnitude bound. The run-length of the proposed scheme is analyzed and expressions for the average time to a report are derived. Simulation results with both simulated and real-measurement data are provided to illustrate the tracking performance, and the reductions in the reporting rate. The results show that the proposed scheme can significantly reduce the reporting rate in exchange for a small bounded tracking error.",WOS:000374971000052,Ieee T Smart Grid,"Werner, S. and Lunden, J.","Aalto Univ, Sch Elect Engn, Dept Signal Proc & Acoust, Espoo 00076, Finland",33,10.1109/Tsg.2015.2469094,May,1949-3053,3,Ieee Transactions on Smart Grid,change detection,load tracking,reduced reporting frequency,smart grid,smart metering,demand response,communication,requirements,appliances,,,,,,,,,,,English,Dk5pb,1723-1731,14228,Journal Article,Smart Load Tracking and Reporting for Real-Time Metering in Electric Power Grids,0,Smart Load Tracking and Reporting for Real-Time Metering in Electric Power Grids,<Go to ISI>://WOS:000374971000052,7,2016
68,"Energy storage systems (ESSs) are essential in future power systems because they can improve power usage efficiency. In this paper, a novel coordinated control algorithm is proposed for distributed battery ESSs (BESSs). The neighboring BESSs of a simulation system are grouped and controlled by a main control center. The main control center sends charging or discharging operation signals to each BESS. The primary objective of the proposed coordinated control scheme is to mitigate voltage and frequency deviations. In order to verify the proposed algorithm, the BESSs are connected to a distribution system of the Korea Electric Power Corporation. The results are compared with those obtained using uncoordinated control scheme with on-load tap changer considering aspects of power quality (voltage and frequency variation). The simulation results show that the voltage and frequency deviations are reduced with the proposed coordinated control algorithm.",WOS:000374971000051,Ieee T Smart Grid,"Lee, S. J., Kim, J. H., Kim, C. H., Kim, S. K., Kim, E. S., Kim, D. U., Mehmood, K. K. and Khan, S. U.","Sungkyunkwan Univ, Coll Informat & Commun Engn, Suwon 440746, South Korea",26,10.1109/Tsg.2015.2429919,May,1949-3053,3,Ieee Transactions on Smart Grid,battery energy storage system (bess),coordinated control,frequency deviation,load factor,voltage deviation,capacity,strategy,,,,,,,,,,,,,English,Dk5pb,1713-1722,14229,Journal Article,Coordinated Control Algorithm for Distributed Battery Energy Storage Systems for Mitigating Voltage and Frequency Deviations,0,Coordinated Control Algorithm for Distributed Battery Energy Storage Systems for Mitigating Voltage and Frequency Deviations,<Go to ISI>://WOS:000374971000051,7,2016
69,"This paper develops a novel energy trading system with a community energy storage (CES) device for demand-side load management within a neighborhood area network. The energy users in the proposed system that have their own photovoltaic power generation are allowed to trade energy from their personal surplus with the grid and the CES device. We adopt a dynamic noncooperative repeated game with Pareto-efficient pure strategies as the decentralized approach for the users to determine optimal energy trading amounts for the next day. This decentralized model needs minimal information exchange or communication between users. Simulation results show that our system is able to provide peak load leveling for the grid, while providing financial benefits to users. Moreover, the performance benefits of our system are robust to both inaccuracy in day-ahead power forecasts and CES battery inefficiencies.",WOS:000374971000015,Ieee T Smart Grid,"Mediwaththe, C. P., Stephens, E. R., Smith, D. B. and Mahanti, A.","Natl Informat & Commun Technol Australia, Eveleigh, NSW 2015, Australia",34,10.1109/Tsg.2015.2438892,May,1949-3053,3,Ieee Transactions on Smart Grid,community energy storage (ces),game theory,load management,microgrid,neighborhood area network,photovoltaic (pv) power generation,energy-storage systems,demand-side management,microgrids,optimization,consumption,generation,,,,,,,,English,Dk5pb,1329-1336,14230,Journal Article,A Dynamic Game for Electricity Load Management in Neighborhood Area Networks,0,A Dynamic Game for Electricity Load Management in Neighborhood Area Networks,<Go to ISI>://WOS:000374971000015,7,2016
70,"This paper addresses a two-stage framework for the economic operation of a microgrid-like electric vehicle (EV) parking deck with on-site renewable energy generation (roof-top photovoltaic panel). This microgrid-like EV parking deck is a localized grouping of distributed generation (solar), energy storage (EV batteries), and load (EV charging load). Although EV parking decks can enable greater adoption of renewable energy sources by scheduling charging loads to coincide with periods of strong sun, the inherent intermittency of renewable energy resources and variable EV parking behaviors complicates the economic operation. In this paper, the proposed first stage of this framework provides the parking deck operators with a stochastic approach for dealing with the uncertainty of solar energy so as to make an optimal price decision (marginal electricity sale price and parking fee rebate) at the day-ahead time scale. The second stage introduces a model predictive control-based operation strategy of EV charging dealing with the uncertainty of parking behaviors within the real-time operation. Case studies demonstrate the better performance of the proposed framework, offering an effective day-ahead marginal electricity price for tomorrow's operation and increasing the microgrid-like EV parking deck's revenue during the real-time operation.",WOS:000374971000050,Ieee T Smart Grid,"Guo, Y., Xiong, J. W., Xu, S. Y. and Su, W. C.","Univ Michigan, Dept Elect & Comp Engn, Dearborn, MI 48128 USA",28,10.1109/Tsg.2015.2424912,May,1949-3053,3,Ieee Transactions on Smart Grid,economic operation,electric vehicle (ev),microgrid,model predictive control (mpc),renewable energy,generation,,,,,,,,,,,,,,English,Dk5pb,1703-1712,14231,Journal Article,Two-Stage Economic Operation of Microgrid-Like Electric Vehicle Parking Deck,0,Two-Stage Economic Operation of Microgrid-Like Electric Vehicle Parking Deck,<Go to ISI>://WOS:000374971000050,7,2016
71,"In smart grid, customers have access to the electricity consumption and the price data via smart meters; thus, they are able to participate in the demand response (DR) programs. In this paper, we address the interaction among multiple utility companies and multiple customers in smart grid by modeling the DR problem as two noncooperative games: the supplier and customer side games. In the first game, supply function bidding mechanism is employed to model the utility companies' profit maximization problem. In the proposed mechanism, the utility companies submit their bids to the data center, where the electricity price is computed and is sent to the customers. In the second game, the price anticipating customers determine optimal shiftable load profile to maximize their daily payoff. The existence and uniqueness of the Nash equilibrium in the mentioned games are studied and a computationally tractable distributed algorithm is designed to determine the equilibrium. Simulation results demonstrate the superior performance of the proposed DR method in increasing the utility companies' profit and customers' payoff, as well as in reducing the peak-to-average ratio in the aggregate load demand. Finally, the algorithm performance is compared with a DR method in the literature to demonstrate the similarities and differences.",WOS:000374971000010,Ieee T Smart Grid,"Kamyab, F., Amini, M., Sheykhha, S., Hasanpour, M. and Jalali, M. M.","Tarbiat Modares Univ, Dept Elect Engn, Tehran 11114115, Iran",18,10.1109/Tsg.2015.2430364,May,1949-3053,3,Ieee Transactions on Smart Grid,bidding mechanism,demand response (dr),nash equilibrium,noncooperative game,electricity spot market,game approach,function equilibrium,side management,competition,efficiency,,,,,,,,,,English,Dk5pb,1277-1284,14232,Journal Article,Demand Response Program in Smart Grid Using Supply Function Bidding Mechanism,0,Demand Response Program in Smart Grid Using Supply Function Bidding Mechanism,<Go to ISI>://WOS:000374971000010,7,2016
72,"Smart grids have attracted increasing interest in the field of industrial research. These systems allow electricity consumers to communicate with electrical systems using bidirectional communications. However, these bidirectional channels may introduce privacy threats to consumers. Considerable research has been conducted with the aim of resolving these threats. Unfortunately, a practical smart grid design with adequate efficiency and security functionalities has not yet been produced. In this paper, we propose lightweight privacy preserving metering protocols by designing a distributed authentication method to further increase the speed of the message authentication process. We confirmed the efficiency and security of our method by performing a detailed analysis.",WOS:000374971000053,Ieee T Smart Grid,"Jo, H. J., Kim, I. S. and Lee, D. H.","Korea Univ, Ctr Informat Secur, Seoul 136701, South Korea",34,10.1109/Tsg.2015.2449278,May,1949-3053,3,Ieee Transactions on Smart Grid,distributed verification,privacy,smart grid,networks,scheme,,,,,,,,,,,,,,,English,Dk5pb,1732-1742,14233,Journal Article,Efficient and Privacy-Preserving Metering Protocols for Smart Grid Systems,0,Efficient and Privacy-Preserving Metering Protocols for Smart Grid Systems,<Go to ISI>://WOS:000374971000053,7,2016
73,This paper documents the effort to perform dynamic model validation for the U.S. Eastern Interconnection (EI) by modeling the governor deadband. The Western Electricity Coordinating Council-modified 1981 IEEE type 1 turbine governor model (WSIEG1) was added to the EI model. A frequency response sensitivity study is conducted to look at the impacts of a few major factors. The significance of modeling governor dead band is evident. Simulated frequency responses are adjusted and validated against the measurements collected by the frequency monitoring network. Two actual events are replicated in a 16 000-bus EI dynamic model. This paper demonstrates the need for a comprehensive effort on governor dead band modeling by the industry.,WOS:000374971000019,Ieee T Smart Grid,"Kou, G. F., Markham, P., Hadley, S., King, T. and Liu, Y. L.","Univ Tennessee, Knoxville, TN 37996 USA",29,10.1109/Tsg.2015.2435258,May,1949-3053,3,Ieee Transactions on Smart Grid,phasor measurement units,power system dynamics,power system modeling,power system simulation,wide-area measurements,validation,wecc,,,,,,,,,,,,,English,Dk5pb,1368-1377,14234,Journal Article,Impact of Governor Deadband on Frequency Response of the US Eastern Interconnection,0,Impact of Governor Deadband on Frequency Response of the US Eastern Interconnection,<Go to ISI>://WOS:000374971000019,7,2016
74,"In order to reduce the energy cost of data centers, recent studies suggest distributing computation workload among multiple geographically dispersed data centers by exploiting the electricity price difference. However, the impact of data center load redistribution on the power grid is not well understood yet. This paper takes the first step toward tackling this important issue by studying how the power grid can take advantage of the data centers' load distribution proactively for the purpose of power load balancing. We model the interactions between power grid and data centers as a two-stage problem where the utility company chooses proper pricing mechanisms to balance the electric power load in the first stage and the data centers seek to minimize their total energy cost by responding to the prices in the second stage. We show that the two-stage problem is a bilevel quadratic program, which is NP-hard and cannot be solved using standard convex optimization techniques. We introduce benchmark problems to derive upper and lower bounds for the solution of the two-stage problem. We further propose a branch and bound algorithm to attain the globally optimal solution, and propose a heuristic algorithm with low computational complexity to obtain an alternative close-to-optimal solution. We also study the impact of background load prediction error using the theoretical framework of robust optimization. The simulation results demonstrate that our proposed scheme can not only improve the power grid reliability, but also reduce the energy cost of data centers.",WOS:000374971000039,Ieee T Smart Grid,"Wang, H., Huang, J. W., Lin, X. J. and Mohsenian-Rad, H.","Chinese Univ Hong Kong, Network Commun & Econ Lab, Dept Informat Engn, Hong Kong, Hong Kong, Peoples R China",31,10.1109/Tsg.2015.2501808,May,1949-3053,3,Ieee Transactions on Smart Grid,smart grid,data center,demand response,dynamic electricity pricing,load balancing,proactive design,smart grids,energy,price,,,,,,,,,,,English,Dk5pb,1584-1596,14235,Journal Article,Proactive Demand Response for Data Centers: A Win-Win Solution,0,Proactive Demand Response for Data Centers: A Win-Win Solution,<Go to ISI>://WOS:000374971000039,7,2016
